"","zone","entity","zone_type","area_2020","area_2030","area_2050","area_2070"
"1","Global","Urban","Global",1212318.45772333,1537412.91890344,2119726.53740182,2190821.34407899
"2","Global","Cropland","Global",18368479.4632731,13955215.1672553,13800155.2537547,10315664.6388253
"3","Global","Secondary_vegetation","Global",15375309.0698891,23548640.8183139,27380468.5218101,29691583.4989635
"4","Global","Permanent_crops","Global",0,6684858.9811461,8165918.8998517,11102819.3872239
"5","Global","Pasture","Global",35312155.0160676,34452677.8296445,31791850.2956694,32210139.6750546
"6","Global","Primary_vegetation","Global",79868998.6892586,69958454.9834019,66879141.1678988,64628979.0709751
"7","Africa","Urban","Region",75201.4498245873,111450.724789985,191043.494607849,228954.791741456
"8","Americas","Urban","Region",331430.127620937,389104.720379869,509528.695380078,537027.735604498
"9","Antarctica","Urban","Region",0,0,0,0
"10","Asia and the Pacific","Urban","Region",219877.100642208,280249.621759777,392434.15393909,390122.933606019
"11","Europe and Central Asia","Urban","Region",174816.687473467,200021.196368953,252627.407379045,252273.111442318
"12","Africa","Cropland","Region",3005227.04880833,871855.501507312,1390894.65982903,709426.904271025
"13","Americas","Cropland","Region",4213027.702148,2997203.46082251,2728178.37027935,2589746.36638455
"14","Antarctica","Cropland","Region",0,0,0,0
"15","Asia and the Pacific","Cropland","Region",5767191.06000068,4614583.99162235,4605769.35516733,2928303.59780397
"16","Europe and Central Asia","Cropland","Region",3638309.8994132,3968228.22190608,3620498.98711537,3353480.57027242
"17","Africa","Secondary_vegetation","Region",1984905.63706619,2733405.14966977,2808838.81928626,2621533.46157156
"18","Americas","Secondary_vegetation","Region",3867305.48745467,6550150.76736251,8297283.03994736,8974753.13664995
"19","Antarctica","Secondary_vegetation","Region",0,0,0,0
"20","Asia and the Pacific","Secondary_vegetation","Region",3528545.5739558,5053714.3758313,5545474.4824468,6232204.96408167
"21","Europe and Central Asia","Secondary_vegetation","Region",3739656.29159606,5266997.75963032,6456011.05577016,7109962.50790884
"22","Africa","Permanent_crops","Region",0,2872932.16138426,3738393.81864817,4686137.15584585
"23","Americas","Permanent_crops","Region",0,1588118.64573804,1747053.68830931,1626277.22685518
"24","Antarctica","Permanent_crops","Region",0,0,0,0
"25","Asia and the Pacific","Permanent_crops","Region",0,1606973.83850299,1830454.63683117,3351913.64449309
"26","Europe and Central Asia","Permanent_crops","Region",0,0,0,0
"27","Africa","Pasture","Region",8636218.53356893,8229655.6896586,7000542.454484,7293392.67974797
"28","Americas","Pasture","Region",8464164.73800452,8289569.99718979,7570476.15048095,7765468.60109097
"29","Antarctica","Pasture","Region",0,0,0,0
"30","Asia and the Pacific","Pasture","Region",11359795.6261545,11419818.0694372,11111738.8494021,11154602.3095499
"31","Europe and Central Asia","Pasture","Region",4639484.54125118,4559973.9165097,4315534.19006809,4226034.97395304
"32","Africa","Primary_vegetation","Region",16157140.9158906,15039394.3603201,14728980.3297722,14319248.5871792
"33","Americas","Primary_vegetation","Region",23592904.155641,20654684.6150269,19616312.2592286,18975559.1402509
"34","Antarctica","Primary_vegetation","Region",1519.04416943512,1519.04416943512,1519.04416943512,1519.04416943512
"35","Asia and the Pacific","Primary_vegetation","Region",13829031.3362543,11729100.8019339,11218569.2159266,10647293.2501873
"36","Europe and Central Asia","Primary_vegetation","Region",15629256.8462515,13826303.1754136,13176852.6270972,12881992.0612654
"37","Antarctica","Urban","Sub_Region",0,0,0,0
"38","Caribbean","Urban","Sub_Region",7253.26436053912,9282.43312064218,11731.0485290458,12568.017675591
"39","Central Africa","Urban","Sub_Region",6592.7466149499,6500.0158814168,16029.2937033723,26328.2951871594
