"","zone","entity","zone_type","year_comparison","area_0","area_1","delta_area"
"1","Global","Urban","Global","2020_2030",1251179.74759292,1528157.0629106,276977.315317677
"2","Global","Urban","Global","2020_2050",1251179.74759292,1810457.25878989,559277.511196973
"3","Global","Urban","Global","2020_2070",1251179.74759292,1933913.90092517,682734.153332246
"4","Africa","Urban","Region","2020_2030",78463.7709326361,108620.896055436,30157.1251227998
"5","Africa","Urban","Region","2020_2050",78463.7709326361,157539.540719331,79075.7697866947
"6","Africa","Urban","Region","2020_2070",78463.7709326361,186530.64994754,108066.879014904
"7","Americas","Urban","Region","2020_2030",335218.919668294,398653.811002982,63434.8913346877
"8","Americas","Urban","Region","2020_2050",335218.919668294,462789.906059771,127570.986391477
"9","Americas","Urban","Region","2020_2070",335218.919668294,493479.352432495,158260.432764201
"10","Antarctica","Urban","Region","2020_2030",0,0,0
"11","Antarctica","Urban","Region","2020_2050",0,0,0
"12","Antarctica","Urban","Region","2020_2070",0,0,0
"13","Asia and the Pacific","Urban","Region","2020_2030",218866.319250798,269176.2306255,50309.9113747022
"14","Asia and the Pacific","Urban","Region","2020_2050",218866.319250798,328177.408080689,109311.088829891
"15","Asia and the Pacific","Urban","Region","2020_2070",218866.319250798,348224.61446681,129358.295216012
"16","Europe and Central Asia","Urban","Region","2020_2030",174915.094049683,190956.016470262,16040.9224205788
"17","Europe and Central Asia","Urban","Region","2020_2050",174915.094049683,209865.785560984,34950.6915113016
"18","Europe and Central Asia","Urban","Region","2020_2070",174915.094049683,213537.524543944,38622.4304942606
"19","Africa","Cropland","Region","2020_2030",2993280.83840186,3527756.55608375,534475.717681882
"20","Africa","Cropland","Region","2020_2050",2993280.83840186,4272260.98120048,1278980.14279861
"21","Africa","Cropland","Region","2020_2070",2993280.83840186,4700908.7916224,1707627.95322053
"22","Americas","Cropland","Region","2020_2030",3955809.70888403,4009729.72325678,53920.0143727483
"23","Americas","Cropland","Region","2020_2050",3955809.70888403,4548582.05200929,592772.343125266
"24","Americas","Cropland","Region","2020_2070",3955809.70888403,5005008.72542905,1049199.01654502
"25","Antarctica","Cropland","Region","2020_2030",0,0,0
"26","Antarctica","Cropland","Region","2020_2050",0,0,0
"27","Antarctica","Cropland","Region","2020_2070",0,0,0
"28","Asia and the Pacific","Cropland","Region","2020_2030",5670689.55619527,5856708.57487356,186019.018678287
"29","Asia and the Pacific","Cropland","Region","2020_2050",5670689.55619527,6045187.25558521,374497.699389942
"30","Asia and the Pacific","Cropland","Region","2020_2070",5670689.55619527,6057372.2950182,386682.738822929
"31","Europe and Central Asia","Cropland","Region","2020_2030",3638027.09916921,3656691.79518811,18664.6960189017
"32","Europe and Central Asia","Cropland","Region","2020_2050",3638027.09916921,3674943.41081561,36916.3116464014
"33","Europe and Central Asia","Cropland","Region","2020_2070",3638027.09916921,3778601.92708154,140574.827912334
"34","Africa","Secondary_vegetation","Region","2020_2030",1865800.71165525,1981744.0762461,115943.364590851
"35","Africa","Secondary_vegetation","Region","2020_2050",1865800.71165525,1934591.1570903,68790.4454350478
"36","Africa","Secondary_vegetation","Region","2020_2070",1865800.71165525,1805353.98292569,-60446.7287295631
"37","Americas","Secondary_vegetation","Region","2020_2030",2905593.06093931,2800689.59639182,-104903.464547497
"38","Americas","Secondary_vegetation","Region","2020_2050",2905593.06093931,3377746.26813923,472153.207199921
"39","Americas","Secondary_vegetation","Region","2020_2070",2905593.06093931,3670379.69587629,764786.634936978
"40","Antarctica","Secondary_vegetation","Region","2020_2030",0,0,0
"41","Antarctica","Secondary_vegetation","Region","2020_2050",0,0,0
"42","Antarctica","Secondary_vegetation","Region","2020_2070",0,0,0
"43","Asia and the Pacific","Secondary_vegetation","Region","2020_2030",2047731.89643372,2049131.61109015,1399.71465643146
"44","Asia and the Pacific","Secondary_vegetation","Region","2020_2050",2047731.89643372,2304010.91155011,256279.01511639
