"","zone","entity","zone_type","year_comparison","area_0","area_1","delta_area"
"1","Global","Urban","Global","2020_2030",1212318.45772333,1537412.91890344,325094.461180111
"2","Global","Urban","Global","2020_2050",1212318.45772333,2119726.53740182,907408.079678492
"3","Global","Urban","Global","2020_2070",1212318.45772333,2190821.34407899,978502.886355657
"4","Africa","Urban","Region","2020_2030",75201.4498245873,111450.724789985,36249.2749653979
"5","Africa","Urban","Region","2020_2050",75201.4498245873,191043.494607849,115842.044783262
"6","Africa","Urban","Region","2020_2070",75201.4498245873,228954.791741456,153753.341916869
"7","Americas","Urban","Region","2020_2030",331430.127620937,389104.720379869,57674.5927589315
"8","Americas","Urban","Region","2020_2050",331430.127620937,509528.695380078,178098.56775914
"9","Americas","Urban","Region","2020_2070",331430.127620937,537027.735604498,205597.60798356
"10","Antarctica","Urban","Region","2020_2030",0,0,0
"11","Antarctica","Urban","Region","2020_2050",0,0,0
"12","Antarctica","Urban","Region","2020_2070",0,0,0
"13","Asia and the Pacific","Urban","Region","2020_2030",219877.100642208,280249.621759777,60372.5211175686
"14","Asia and the Pacific","Urban","Region","2020_2050",219877.100642208,392434.15393909,172557.053296882
"15","Asia and the Pacific","Urban","Region","2020_2070",219877.100642208,390122.933606019,170245.832963811
"16","Europe and Central Asia","Urban","Region","2020_2030",174816.687473467,200021.196368953,25204.5088954857
"17","Europe and Central Asia","Urban","Region","2020_2050",174816.687473467,252627.407379045,77810.7199055772
"18","Europe and Central Asia","Urban","Region","2020_2070",174816.687473467,252273.111442318,77456.4239688504
"19","Africa","Cropland","Region","2020_2030",3005227.04880833,871855.501507312,-2133371.54730102
"20","Africa","Cropland","Region","2020_2050",3005227.04880833,1390894.65982903,-1614332.3889793
"21","Africa","Cropland","Region","2020_2070",3005227.04880833,709426.904271025,-2295800.14453731
"22","Americas","Cropland","Region","2020_2030",4213027.702148,2997203.46082251,-1215824.24132549
"23","Americas","Cropland","Region","2020_2050",4213027.702148,2728178.37027935,-1484849.33186865
"24","Americas","Cropland","Region","2020_2070",4213027.702148,2589746.36638455,-1623281.33576345
"25","Antarctica","Cropland","Region","2020_2030",0,0,0
"26","Antarctica","Cropland","Region","2020_2050",0,0,0
"27","Antarctica","Cropland","Region","2020_2070",0,0,0
"28","Asia and the Pacific","Cropland","Region","2020_2030",5767191.06000068,4614583.99162235,-1152607.06837832
"29","Asia and the Pacific","Cropland","Region","2020_2050",5767191.06000068,4605769.35516733,-1161421.70483335
"30","Asia and the Pacific","Cropland","Region","2020_2070",5767191.06000068,2928303.59780397,-2838887.46219671
"31","Europe and Central Asia","Cropland","Region","2020_2030",3638309.8994132,3968228.22190608,329918.322492889
"32","Europe and Central Asia","Cropland","Region","2020_2050",3638309.8994132,3620498.98711537,-17810.91229783
"33","Europe and Central Asia","Cropland","Region","2020_2070",3638309.8994132,3353480.57027242,-284829.329140775
"34","Africa","Secondary_vegetation","Region","2020_2030",1984905.63706619,2733405.14966977,748499.512603587
"35","Africa","Secondary_vegetation","Region","2020_2050",1984905.63706619,2808838.81928626,823933.182220075
"36","Africa","Secondary_vegetation","Region","2020_2070",1984905.63706619,2621533.46157156,636627.824505373
"37","Americas","Secondary_vegetation","Region","2020_2030",3867305.48745467,6550150.76736251,2682845.27990784
"38","Americas","Secondary_vegetation","Region","2020_2050",3867305.48745467,8297283.03994736,4429977.55249269
"39","Americas","Secondary_vegetation","Region","2020_2070",3867305.48745467,8974753.13664995,5107447.64919527
"40","Antarctica","Secondary_vegetation","Region","2020_2030",0,0,0
"41","Antarctica","Secondary_vegetation","Region","2020_2050",0,0,0
"42","Antarctica","Secondary_vegetation","Region","2020_2070",0,0,0
"43","Asia and the Pacific","Secondary_vegetation","Region","2020_2030",3528545.5739558,5053714.3758313,1525168.80187549
"44","Asia and the Pacific","Secondary_vegetation","Region","2020_2050",3528545.5739558,5545474.4824468,2016928.908491
"45","Asia and the Pacific","Secondary_vegetation","Region","2020_2070",3528545.5739558,6232204.96408167,2703659.39012587
"46","Europe and Central Asia","Secondary_vegetation","Region","2020_2030",3739656.29159606,5266997.75963032,1527341.46803427
"47","Europe and Central Asia","Secondary_vegetation","Region","2020_2050",3739656.29159606,6456011.05577016,2716354.76417411
"48","Europe and Central Asia","Secondary_vegetation","Region","2020_2070",3739656.29159606,7109962.50790884,3370306.21631278
"49","Africa","Permanent_crops","Region","2020_2030",0,2872932.16138426,2872932.16138426
"50","Africa","Permanent_crops","Region","2020_2050",0,3738393.81864817,3738393.81864817
"51","Africa","Permanent_crops","Region","2020_2070",0,4686137.15584585,4686137.15584585
"52","Americas","Permanent_crops","Region","2020_2030",0,1588118.64573804,1588118.64573804
"53","Americas","Permanent_crops","Region","2020_2050",0,1747053.68830931,1747053.68830931
"54","Americas","Permanent_crops","Region","2020_2070",0,1626277.22685518,1626277.22685518
"55","Antarctica","Permanent_crops","Region","2020_2030",0,0,0
"56","Antarctica","Permanent_crops","Region","2020_2050",0,0,0
"57","Antarctica","Permanent_crops","Region","2020_2070",0,0,0
"58","Asia and the Pacific","Permanent_crops","Region","2020_2030",0,1606973.83850299,1606973.83850299
"59","Asia and the Pacific","Permanent_crops","Region","2020_2050",0,1830454.63683117,1830454.63683117
"60","Asia and the Pacific","Permanent_crops","Region","2020_2070",0,3351913.64449309,3351913.64449309
"61","Europe and Central Asia","Permanent_crops","Region","2020_2030",0,0,0
"62","Europe and Central Asia","Permanent_crops","Region","2020_2050",0,0,0
"63","Europe and Central Asia","Permanent_crops","Region","2020_2070",0,0,0
"64","Africa","Pasture","Region","2020_2030",8636218.53356893,8229655.6896586,-406562.843910331
"65","Africa","Pasture","Region","2020_2050",8636218.53356893,7000542.454484,-1635676.07908493
"66","Africa","Pasture","Region","2020_2070",8636218.53356893,7293392.67974797,-1342825.85382096
"67","Americas","Pasture","Region","2020_2030",8464164.73800452,8289569.99718979,-174594.74081473
"68","Americas","Pasture","Region","2020_2050",8464164.73800452,7570476.15048095,-893688.587523572
"69","Americas","Pasture","Region","2020_2070",8464164.73800452,7765468.60109097,-698696.136913552
"70","Antarctica","Pasture","Region","2020_2030",0,0,0
"71","Antarctica","Pasture","Region","2020_2050",0,0,0
"72","Antarctica","Pasture","Region","2020_2070",0,0,0
"73","Asia and the Pacific","Pasture","Region","2020_2030",11359795.6261545,11419818.0694372,60022.4432827141
"74","Asia and the Pacific","Pasture","Region","2020_2050",11359795.6261545,11111738.8494021,-248056.776752388
"75","Asia and the Pacific","Pasture","Region","2020_2070",11359795.6261545,11154602.3095499,-205193.316604583
"76","Europe and Central Asia","Pasture","Region","2020_2030",4639484.54125118,4559973.9165097,-79510.6247414807
