"","zone","entity","zone_type","year_comparison","area_0","area_1","delta_area"
"1","Global","Urban","Global","2020_2030",1212318.45772333,1401823.98365598,189505.525932654
"2","Global","Urban","Global","2020_2050",1212318.45772333,1734465.13913116,522146.681407834
"3","Global","Urban","Global","2020_2070",1212318.45772333,1813760.56605591,601442.108332585
"4","Africa","Urban","Region","2020_2030",75201.4498245873,103693.967768402,28492.5179438148
"5","Africa","Urban","Region","2020_2050",75201.4498245873,167748.665371584,92547.2155469967
"6","Africa","Urban","Region","2020_2070",75201.4498245873,202004.768007333,126803.318182746
"7","Americas","Urban","Region","2020_2030",331430.127620937,378697.858951475,47267.7313305381
"8","Americas","Urban","Region","2020_2050",331430.127620937,452236.832035284,120806.704414347
"9","Americas","Urban","Region","2020_2070",331430.127620937,477583.683212173,146153.555591235
"10","Antarctica","Urban","Region","2020_2030",0,0,0
"11","Antarctica","Urban","Region","2020_2050",0,0,0
"12","Antarctica","Urban","Region","2020_2070",0,0,0
"13","Asia and the Pacific","Urban","Region","2020_2030",219877.100642208,269104.916646707,49227.8160044994
"14","Asia and the Pacific","Urban","Region","2020_2050",219877.100642208,348331.009827612,128453.909185404
"15","Asia and the Pacific","Urban","Region","2020_2070",219877.100642208,345272.880182316,125395.779540108
"16","Europe and Central Asia","Urban","Region","2020_2030",174816.687473467,194692.890532007,19876.2030585392
"17","Europe and Central Asia","Urban","Region","2020_2050",174816.687473467,223416.179379731,48599.4919062638
"18","Europe and Central Asia","Urban","Region","2020_2070",174816.687473467,223233.080003028,48416.39252956
"19","Africa","Cropland","Region","2020_2030",3005227.04880833,3764524.28752541,759297.238717071
"20","Africa","Cropland","Region","2020_2050",3005227.04880833,5037847.87818632,2032620.82937798
"21","Africa","Cropland","Region","2020_2070",3005227.04880833,5296324.77488145,2291097.72607312
"22","Americas","Cropland","Region","2020_2030",4213027.702148,4502551.20638971,289523.504241709
"23","Americas","Cropland","Region","2020_2050",4213027.702148,4213758.47139604,730.769248040393
"24","Americas","Cropland","Region","2020_2070",4213027.702148,4124026.80919887,-89000.892949136
"25","Antarctica","Cropland","Region","2020_2030",0,0,0
"26","Antarctica","Cropland","Region","2020_2050",0,0,0
"27","Antarctica","Cropland","Region","2020_2070",0,0,0
"28","Asia and the Pacific","Cropland","Region","2020_2030",5767191.06000068,6132657.72290222,365466.662901539
"29","Asia and the Pacific","Cropland","Region","2020_2050",5767191.06000068,5899179.34894257,131988.288941897
"30","Asia and the Pacific","Cropland","Region","2020_2070",5767191.06000068,5877798.41700166,110607.357000988
"31","Europe and Central Asia","Cropland","Region","2020_2030",3638309.8994132,3805489.55140055,167179.651987354
"32","Europe and Central Asia","Cropland","Region","2020_2050",3638309.8994132,3521153.53988318,-117156.35953002
"33","Europe and Central Asia","Cropland","Region","2020_2070",3638309.8994132,3492786.68843084,-145523.210982355
"34","Africa","Secondary_vegetation","Region","2020_2030",1984905.63706619,3083594.74533346,1098689.10826727
"35","Africa","Secondary_vegetation","Region","2020_2050",1984905.63706619,3765579.0772586,1780673.44019242
"36","Africa","Secondary_vegetation","Region","2020_2070",1984905.63706619,3657677.86817447,1672772.23110829
"37","Americas","Secondary_vegetation","Region","2020_2030",3867305.48745467,7013282.92783703,3145977.44038236
"38","Americas","Secondary_vegetation","Region","2020_2050",3867305.48745467,11017277.7169923,7149972.22953767
"39","Americas","Secondary_vegetation","Region","2020_2070",3867305.48745467,11148490.434523,7281184.94706832
"40","Antarctica","Secondary_vegetation","Region","2020_2030",0,0,0
"41","Antarctica","Secondary_vegetation","Region","2020_2050",0,0,0
"42","Antarctica","Secondary_vegetation","Region","2020_2070",0,0,0
"43","Asia and the Pacific","Secondary_vegetation","Region","2020_2030",3528545.5739558,5921354.07433563,2392808.50037983
"44","Asia and the Pacific","Secondary_vegetation","Region","2020_2050",3528545.5739558,7373946.80174427,3845401.22778847
"45","Asia and the Pacific","Secondary_vegetation","Region","2020_2070",3528545.5739558,7783919.89635693,4255374.32240113
"46","Europe and Central Asia","Secondary_vegetation","Region","2020_2030",3739656.29159606,5376034.88860038,1636378.59700432
"47","Europe and Central Asia","Secondary_vegetation","Region","2020_2050",3739656.29159606,7457334.4423034,3717678.15070735
"48","Europe and Central Asia","Secondary_vegetation","Region","2020_2070",3739656.29159606,7643873.31809279,3904217.02649674
"49","Africa","Permanent_crops","Region","2020_2030",0,0,0
"50","Africa","Permanent_crops","Region","2020_2050",0,0,0
"51","Africa","Permanent_crops","Region","2020_2070",0,0,0
"52","Americas","Permanent_crops","Region","2020_2030",0,0,0
"53","Americas","Permanent_crops","Region","2020_2050",0,0,0
"54","Americas","Permanent_crops","Region","2020_2070",0,0,0
"55","Antarctica","Permanent_crops","Region","2020_2030",0,0,0
"56","Antarctica","Permanent_crops","Region","2020_2050",0,0,0
"57","Antarctica","Permanent_crops","Region","2020_2070",0,0,0
"58","Asia and the Pacific","Permanent_crops","Region","2020_2030",0,0,0
"59","Asia and the Pacific","Permanent_crops","Region","2020_2050",0,0,0
"60","Asia and the Pacific","Permanent_crops","Region","2020_2070",0,0,0
"61","Europe and Central Asia","Permanent_crops","Region","2020_2030",0,0,0
"62","Europe and Central Asia","Permanent_crops","Region","2020_2050",0,0,0
"63","Europe and Central Asia","Permanent_crops","Region","2020_2070",0,0,0
"64","Africa","Pasture","Region","2020_2030",8636218.53356893,7734840.67317717,-901377.860391759
"65","Africa","Pasture","Region","2020_2050",8636218.53356893,5954677.50719017,-2681541.02637876
"66","Africa","Pasture","Region","2020_2070",8636218.53356893,5816467.37395149,-2819751.15961744
"67","Americas","Pasture","Region","2020_2030",8464164.73800452,6882265.02815918,-1581899.70984534
"68","Americas","Pasture","Region","2020_2050",8464164.73800452,4657627.00366778,-3806537.73433674
"69","Americas","Pasture","Region","2020_2070",8464164.73800452,5049716.98038691,-3414447.75761761
"70","Antarctica","Pasture","Region","2020_2030",0,0,0
"71","Antarctica","Pasture","Region","2020_2050",0,0,0
"72","Antarctica","Pasture","Region","2020_2070",0,0,0
"73","Asia and the Pacific","Pasture","Region","2020_2030",11359795.6261545,10970740.6322475,-389054.993906993
"74","Asia and the Pacific","Pasture","Region","2020_2050",11359795.6261545,9982174.64066656,-1377620.98548795
"75","Asia and the Pacific","Pasture","Region","2020_2070",11359795.6261545,9778228.28344793,-1581567.34270659
"76","Europe and Central Asia","Pasture","Region","2020_2030",4639484.54125118,4008505.35401137,-630979.187239813
"77","Europe and Central Asia","Pasture","Region","2020_2050",4639484.54125118,3173889.9436734,-1465594.59757778
"78","Europe and Central Asia","Pasture","Region","2020_2070",4639484.54125118,3368316.40952407,-1271168.13172712
"79","Africa","Primary_vegetation","Region","2020_2030",16157140.9158906,15172039.9080245,-985101.007866114
"80","Africa","Primary_vegetation","Region","2020_2050",16157140.9158906,14932840.4550385,-1224300.46085212
"81","Africa","Primary_vegetation","Region","2020_2070",16157140.9158906,14886218.8007909,-1270922.11509967
"82","Americas","Primary_vegetation","Region","2020_2030",23592904.155641,21692035.1913894,-1900868.96425168
"83","Americas","Primary_vegetation","Region","2020_2050",23592904.155641,20127932.1821633,-3464971.97347774
"84","Americas","Primary_vegetation","Region","2020_2070",23592904.155641,19669014.302333,-3923889.85330799
"85","Antarctica","Primary_vegetation","Region","2020_2030",1519.04416943512,1519.04416943512,0
"86","Antarctica","Primary_vegetation","Region","2020_2050",1519.04416943512,1519.04416943512,0
"87","Antarctica","Primary_vegetation","Region","2020_2070",1519.04416943512,1519.04416943512,0
"88","Asia and the Pacific","Primary_vegetation","Region","2020_2030",13829031.3362543,11410583.3541243,-2418447.98213004
"89","Asia and the Pacific","Primary_vegetation","Region","2020_2050",13829031.3362543,11100808.903275,-2728222.43297934
"90","Asia and the Pacific","Primary_vegetation","Region","2020_2070",13829031.3362543,10919221.2232669,-2909810.1129874
"91","Europe and Central Asia","Primary_vegetation","Region","2020_2030",15629256.8462515,14439020.544984,-1190236.30126748
"92","Europe and Central Asia","Primary_vegetation","Region","2020_2050",15629256.8462515,13447949.1229538,-2181307.72329768
"93","Europe and Central Asia","Primary_vegetation","Region","2020_2070",15629256.8462515,13095533.7380937,-2533723.10815781
"94","Antarctica","Urban","Sub_Region","2020_2030",0,0,0
"95","Antarctica","Urban","Sub_Region","2020_2050",0,0,0
"96","Antarctica","Urban","Sub_Region","2020_2070",0,0,0
"97","Caribbean","Urban","Sub_Region","2020_2030",7253.26436053912,8601.38744669124,1348.12308615212
"98","Caribbean","Urban","Sub_Region","2020_2050",7253.26436053912,10709.5148672627,3456.25050672357
"99","Caribbean","Urban","Sub_Region","2020_2070",7253.26436053912,11106.0137113034,3852.74935076425
"100","Central Africa","Urban","Sub_Region","2020_2030",6592.7466149499,10157.5036899661,3564.75707501624
"101","Central Africa","Urban","Sub_Region","2020_2050",6592.7466149499,17092.0243170902,10499.2777021403
"102","Central Africa","Urban","Sub_Region","2020_2070",6592.7466149499,21287.9407325012,14695.1941175513
"103","Central Asia","Urban","Sub_Region","2020_2030",9754.24428582673,12907.4457426462,3153.20145681944
"104","Central Asia","Urban","Sub_Region","2020_2050",9754.24428582673,18778.4416734575,9024.19738763081
"105","Central Asia","Urban","Sub_Region","2020_2070",9754.24428582673,18927.7333350556,9173.48904922892
"106","Central and Western Europe","Urban","Sub_Region","2020_2030",130199.964224349,145356.538784383,15156.574560034
"107","Central and Western Europe","Urban","Sub_Region","2020_2050",130199.964224349,168557.701710931,38357.7374865823
"108","Central and Western Europe","Urban","Sub_Region","2020_2070",130199.964224349,173344.248470216,43144.2842458678
"109","East Africa and adjacent islands","Urban","Sub_Region","2020_2030",10613.7261662809,16860.586186247,6246.86001996608
"110","East Africa and adjacent islands","Urban","Sub_Region","2020_2050",10613.7261662809,31881.2159173853,21267.4897511044
"111","East Africa and adjacent islands","Urban","Sub_Region","2020_2070",10613.7261662809,40028.4495030737,29414.7233367928
"112","Eastern Europe","Urban","Sub_Region","2020_2030",34862.4789632923,36428.9060049783,1566.42704168599
"113","Eastern Europe","Urban","Sub_Region","2020_2050",34862.4789632923,36080.0359953428,1217.55703205054
"114","Eastern Europe","Urban","Sub_Region","2020_2070",34862.4789632923,30961.0981977554,-3901.38076553693
"115","Mesoamerica","Urban","Sub_Region","2020_2030",20207.9990234436,23609.2468306936,3401.24780725006
"116","Mesoamerica","Urban","Sub_Region","2020_2050",20207.9990234436,28185.5830679475,7977.58404450393
"117","Mesoamerica","Urban","Sub_Region","2020_2070",20207.9990234436,27680.3532299561,7472.35420651256
"118","North Africa","Urban","Sub_Region","2020_2030",19466.2252728997,24457.6007961853,4991.37552328556
"119","North Africa","Urban","Sub_Region","2020_2050",19466.2252728997,34381.2461006012,14915.0208277015
"120","North Africa","Urban","Sub_Region","2020_2070",19466.2252728997,36412.0003677615,16945.7750948618
"121","North America","Urban","Sub_Region","2020_2030",244961.294831706,279571.423609193,34610.1287774868
"122","North America","Urban","Sub_Region","2020_2050",244961.294831706,338835.796364958,93874.5015332518
"123","North America","Urban","Sub_Region","2020_2070",244961.294831706,366943.930914261,121982.636082555
"124","North-East Asia","Urban","Sub_Region","2020_2030",93123.8080949167,106775.409493513,13651.6013985964
"125","North-East Asia","Urban","Sub_Region","2020_2050",93123.8080949167,118638.296096056,25514.4880011394
"126","North-East Asia","Urban","Sub_Region","2020_2070",93123.8080949167,104256.669309729,11132.8612148127
"127","Oceania","Urban","Sub_Region","2020_2030",22429.7105818539,25775.0994622502,3345.38888039625
"128","Oceania","Urban","Sub_Region","2020_2050",22429.7105818539,31279.9361787238,8850.22559686991
"129","Oceania","Urban","Sub_Region","2020_2070",22429.7105818539,33202.3545172748,10772.6439354209
