"","zone","entity","zone_type","area_2020","area_2030","area_2050","area_2070"
"1","Global","Urban","Global",1212318.45772333,1457800.02352386,1960314.17046939,2051144.22785628
"2","Global","Cropland","Global",18368479.4632731,13734972.680542,12265858.083915,10061452.5343124
"3","Global","Secondary_vegetation","Global",15375309.0698891,24991351.6609818,31050779.2905345,33596172.5648485
"4","Global","Permanent_crops","Global",0,5999102.13194066,6528158.14634452,8714806.2631817
"5","Global","Pasture","Global",35312155.0160676,33403448.2700152,30136895.2057014,29300443.5019691
"6","Global","Primary_vegetation","Global",79868998.6892586,70553332.8584227,68198002.7360629,66415988.5366643
"7","Africa","Urban","Region",75201.4498245873,107498.692337187,187205.623361913,225631.687601486
"8","Americas","Urban","Region",331430.127620937,388065.256982764,507704.833360651,536160.057513298
"9","Antarctica","Urban","Region",0,0,0,0
"10","Asia and the Pacific","Urban","Region",219877.100642208,277011.672947748,392329.450993339,389957.011808772
"11","Europe and Central Asia","Urban","Region",174816.687473467,197007.834138187,250445.318682546,250044.667039292
"12","Africa","Cropland","Region",3005227.04880833,933123.93171825,974320.690129119,652835.171695554
"13","Americas","Cropland","Region",4213027.702148,3057646.31100222,2523616.79427749,2436313.56986771
"14","Antarctica","Cropland","Region",0,0,0,0
"15","Asia and the Pacific","Cropland","Region",5767191.06000068,4595101.02523098,4124138.76433138,2841546.43410154
"16","Europe and Central Asia","Cropland","Region",3638309.8994132,3914584.71216895,3593400.31739349,3451043.41988122
"17","Africa","Secondary_vegetation","Region",1984905.63706619,3361125.22665955,4019322.06073636,4518427.32133806
"18","Americas","Secondary_vegetation","Region",3867305.48745467,6843174.5805585,9221389.62996405,9695367.70144282
"19","Antarctica","Secondary_vegetation","Region",0,0,0,0
"20","Asia and the Pacific","Secondary_vegetation","Region",3528545.5739558,5633634.80311568,6682419.91364853,7448558.90710053
"21","Europe and Central Asia","Secondary_vegetation","Region",3739656.29159606,5351660.06332086,6712053.84668482,7169597.88652425
"22","Africa","Permanent_crops","Region",0,2674090.61255956,3218890.22009038,3846704.7996431
"23","Americas","Permanent_crops","Region",0,1469643.26435293,1367366.4837458,1423254.6744565
"24","Antarctica","Permanent_crops","Region",0,0,0,0
"25","Asia and the Pacific","Permanent_crops","Region",0,1376443.31413155,1428152.22465716,2597123.29101402
"26","Europe and Central Asia","Permanent_crops","Region",0,0,0,0
"27","Africa","Pasture","Region",8636218.53356893,8327034.53134884,7211224.57802846,6440494.1186919
"28","Americas","Pasture","Region",8464164.73800452,7685842.96991866,6644603.06831882,6893226.31598672
"29","Antarctica","Pasture","Region",0,0,0,0
"30","Asia and the Pacific","Pasture","Region",11359795.6261545,11318207.9530757,10860845.1299277,10536561.0243524
"31","Europe and Central Asia","Pasture","Region",4639484.54125118,4373731.78941778,3948530.79339955,3956567.57945919
"32","Africa","Primary_vegetation","Region",16157140.9158906,14455820.5778283,14247730.4083799,14174600.4887363
"33","Americas","Primary_vegetation","Region",23592904.155641,21024459.8310732,20204151.4080285,19484509.8871454
"34","Antarctica","Primary_vegetation","Region",1519.04416943512,1519.04416943512,1519.04416943512,1519.04416943512
"35","Asia and the Pacific","Primary_vegetation","Region",13829031.3362543,11504041.9276597,11216555.2201039,10890694.032154
"36","Europe and Central Asia","Primary_vegetation","Region",15629256.8462515,13986758.8365962,13319312.9511131,12996489.6753141
"37","Antarctica","Urban","Sub_Region",0,0,0,0
"38","Caribbean","Urban","Sub_Region",7253.26436053912,9489.80361265672,12595.6579991232,13365.5453930218
"39","Central Africa","Urban","Sub_Region",6592.7466149499,9659.73014922251,18891.3411936713,23440.4236686476
"40","Central Asia","Urban","Sub_Region",9754.24428582673,13352.4650233504,21202.3893686546,21367.857581392
"41","Central and Western Europe","Urban","Sub_Region",130199.964224349,146854.837364931,188529.472727019,193736.071227985
"42","East Africa and adjacent islands","Urban","Sub_Region",10613.7261662809,15725.3334711636,31388.0119007452,39115.3932980762
"43","Eastern Europe","Urban","Sub_Region",34862.4789632923,36800.5317499051,40713.4565868729,34940.7382299145
"44","Mesoamerica","Urban","Sub_Region",20207.9990234436,24096.8987484322,31806.7200095609,30868.2296848082
"45","North Africa","Urban","Sub_Region",19466.2252728997,27178.6119874951,42837.2723910323,46852.9087197007
"46","North America","Urban","Sub_Region",244961.294831706,285758.927449878,379410.770874938,411126.581240305
"47","North-East Asia","Urban","Sub_Region",93123.8080949167,108262.773053099,132900.683184803,117533.92171723
"48","Oceania","Urban","Sub_Region",22429.7105818539,26697.659066953,35271.8015665555,37546.8331679215
"49","South America","Urban","Sub_Region",59007.5694052493,68719.6271717983,83891.6844770286,80799.7011951633
"50","South Asia","Urban","Sub_Region",48995.7168352147,69185.0165828552,113207.04549927,117288.054170106
"51","South-East Asia","Urban","Sub_Region",35449.7122145355,47233.0555963776,73676.6973497054,77363.8970453177
"52","Southern Africa","Urban","Sub_Region",16206.1384741271,22826.931993826,38402.4629913648,48229.0821198522
"53","West Africa","Urban","Sub_Region",22322.6132963296,32108.0847354794,55686.534885099,67993.8797952091
"54","Western Asia","Urban","Sub_Region",19878.1529156872,25633.1686484628,37273.2233930026,40224.3057081944
"55","Antarctica","Cropland","Sub_Region",0,0,0,0
"56","Caribbean","Cropland","Sub_Region",72975.5935616443,19674.2725049908,13030.0554816731,2771.2183270366
"57","Central Africa","Cropland","Sub_Region",300094.420812916,41275.1191926119,15338.3390528283,1359.80860368037
"58","Central Asia","Cropland","Sub_Region",384509.175536954,401558.897089504,450585.747571977,408296.05258395
"59","Central and Western Europe","Cropland","Sub_Region",1525147.7486994,1672913.08353184,1478576.72787259,1390047.06707545
"60","East Africa and adjacent islands","Cropland","Sub_Region",646235.018311547,195586.374319485,238965.900711439,120160.735236395
"61","Eastern Europe","Cropland","Sub_Region",1728652.97517683,1840112.73154762,1664237.84194892,1652700.30022182
"62","Mesoamerica","Cropland","Sub_Region",343041.331496618,139907.259241939,77201.136868605,71917.9631240565
"63","North Africa","Cropland","Sub_Region",595528.362532349,415266.875677722,393044.349250601,344141.061137003
"64","North America","Cropland","Sub_Region",2109758.57309843,2301207.11619076,1984568.1514865,1929425.97648364
"65","North-East Asia","Cropland","Sub_Region",1408483.45356268,1370346.90694447,1263915.09107648,1093739.46672021
"66","Oceania","Cropland","Sub_Region",518912.885020448,508147.715509589,466184.889015928,426765.829821864
"67","South America","Cropland","Sub_Region",1687252.2039913,596857.66306454,448817.450440717,432198.411932978
"68","South Asia","Cropland","Sub_Region",2475889.9198133,2087052.04885009,1917225.31603747,1142400.23900902
"69","South-East Asia","Cropland","Sub_Region",1216864.85406864,475956.521441345,314017.572562664,23470.3450125446
"70","Southern Africa","Cropland","Sub_Region",379814.999466095,142797.325373506,284752.516051718,170584.087818698
"71","West Africa","Cropland","Sub_Region",1083554.24768543,138198.23715493,42219.5850625324,16589.4788997786
"72","Western Asia","Cropland","Sub_Region",147039.947535604,153597.832485485,162795.895638812,155170.553537891
"73","Antarctica","Secondary_vegetation","Sub_Region",0,0,0,0
"74","Caribbean","Secondary_vegetation","Sub_Region",15799.128971851,43397.3500889088,49091.0470210191,47001.3248173707
"75","Central Africa","Secondary_vegetation","Sub_Region",722275.091564362,1044310.22636983,1081182.70841891,1112541.71516864
"76","Central Asia","Secondary_vegetation","Sub_Region",163536.193640002,385852.508533962,391966.485466531,414944.300494791
"77","Central and Western Europe","Secondary_vegetation","Sub_Region",1858325.72593165,2621881.95585017,3132556.63855965,3379436.54892612
"78","East Africa and adjacent islands","Secondary_vegetation","Sub_Region",402850.746799863,766313.719273692,794437.136727383,948650.669393813
"79","Eastern Europe","Secondary_vegetation","Sub_Region",1717794.37202441,2343925.59893671,3187530.72265862,3375217.03710333
"80","Mesoamerica","Secondary_vegetation","Sub_Region",107871.097721673,236971.413141639,401895.065385281,369992.670694181
"81","North Africa","Secondary_vegetation","Sub_Region",104909.342275483,248338.336362016,409137.032617368,438455.882685782
"82","North America","Secondary_vegetation","Sub_Region",2079664.23635427,3958140.38998505,5394234.0138532,5994483.26549256
"83","North-East Asia","Secondary_vegetation","Sub_Region",1189574.66009376,2508616.83260865,2980191.90013996,3538006.83055372
"84","Oceania","Secondary_vegetation","Sub_Region",831795.298742825,964633.7745363,1070246.60289187,1089948.01728631
"85","South America","Secondary_vegetation","Sub_Region",1663971.02440686,2604665.42734287,3376169.50370458,3283890.44043875
"86","South Asia","Secondary_vegetation","Sub_Region",809919.73352856,1161064.60341882,1342517.55524588,1424543.15933287
"87","South-East Asia","Secondary_vegetation","Sub_Region",680981.891970538,872721.340985561,1156191.18591147,1256293.13649356
"88","Southern Africa","Secondary_vegetation","Sub_Region",354239.553064381,518092.683550715,811092.971915567,1154000.25961037
"89","West Africa","Secondary_vegetation","Sub_Region",400630.903362096,784070.261103285,923472.211057129,864778.794479459
"90","Western Asia","Secondary_vegetation","Sub_Region",16273.9896201236,126598.251566386,133272.669459325,139767.763434055
"91","Antarctica","Permanent_crops","Sub_Region",0,0,0,0
"92","Caribbean","Permanent_crops","Sub_Region",0,50491.5665599846,55815.972618109,65733.172455426
"93","Central Africa","Permanent_crops","Sub_Region",0,369495.958009672,460907.164081991,521015.582056336
"94","Central Asia","Permanent_crops","Sub_Region",0,0,0,0
"95","Central and Western Europe","Permanent_crops","Sub_Region",0,0,0,0
"96","East Africa and adjacent islands","Permanent_crops","Sub_Region",0,495311.910574331,649098.388751245,774199.873393194
"97","Eastern Europe","Permanent_crops","Sub_Region",0,0,0,0
"98","Mesoamerica","Permanent_crops","Sub_Region",0,251393.935640271,290320.314029927,299216.543926536
"99","North Africa","Permanent_crops","Sub_Region",0,319857.014806469,409840.166911713,437844.291315978
"100","North America","Permanent_crops","Sub_Region",0,16247.2996105415,16618.3866981271,17034.6994568522
"101","North-East Asia","Permanent_crops","Sub_Region",0,48694.6324259355,49861.0929968984,107499.393006673
"102","Oceania","Permanent_crops","Sub_Region",0,62059.0191294979,68586.4821296217,72833.0463767651
"103","South America","Permanent_crops","Sub_Region",0,1151510.46254214,1004611.81039963,1041270.25861768
"104","South Asia","Permanent_crops","Sub_Region",0,505925.050945995,532275.845484416,1334413.40561491
"105","South-East Asia","Permanent_crops","Sub_Region",0,757012.596366155,774666.107147939,1079619.72053596
"106","Southern Africa","Permanent_crops","Sub_Region",0,393723.112236898,460673.655543536,749610.890739678
"107","West Africa","Permanent_crops","Sub_Region",0,1095702.61693219,1238370.8448019,1364034.16213792
"108","Western Asia","Permanent_crops","Sub_Region",0,2752.015263961,2762.69689827907,2757.72547970729
"109","Antarctica","Pasture","Sub_Region",0,0,0,0
"110","Caribbean","Pasture","Sub_Region",61017.6212125491,47793.5653128074,42347.9318898413,44046.0031005247
"111","Central Africa","Pasture","Sub_Region",1054313.95546769,890981.270017772,786556.514127189,715937.953153243
"112","Central Asia","Pasture","Sub_Region",2608451.8509157,2646655.91693888,2611257.31702933,2631818.96435171
"113","Central and Western Europe","Pasture","Sub_Region",889673.672904857,752873.554846153,552999.592894625,528800.847807676
"114","East Africa and adjacent islands","Pasture","Sub_Region",1865918.01203581,1873509.02724193,1714704.9560902,1550137.01224324
"115","Eastern Europe","Pasture","Sub_Region",1141359.01743065,974202.31763276,784273.883475589,795947.767299804
"116","Mesoamerica","Pasture","Sub_Region",919682.713247287,855384.051492491,709700.029349115,739664.103646008
"117","North Africa","Pasture","Sub_Region",1384113.9003907,1495075.21349617,1322656.86565942,1331807.78091739
"118","North America","Pasture","Sub_Region",2673726.15309633,2299277.7445264,1712620.87671819,1683905.59894141
"119","North-East Asia","Pasture","Sub_Region",5188099.90176893,5186006.9173289,4835522.21764766,4438143.04359419
"120","Oceania","Pasture","Sub_Region",3460741.77670474,3429767.069194,3386154.46988705,3430155.56252088
"121","South America","Pasture","Sub_Region",4809738.25044835,4483387.60858696,4179934.23036167,4425610.61029878
"122","South Asia","Pasture","Sub_Region",1649970.67143997,1608838.89569533,1577131.33030685,1601416.26622474
"123","South-East Asia","Pasture","Sub_Region",176870.51183418,135775.267312903,103568.804916357,104263.316605668
"124","Southern Africa","Pasture","Sub_Region",2874236.36102222,2833159.21928815,2361831.41664519,1870072.65295222
