,zone,entity,zone_type,area_2020,area_2030,area_2050,area_2070,h_forest,h_nonforest,ss_t1_forest,ss_t0_forest,ss_t1_nonforest,ss_t0_nonforest,z,,ss_forest,ss_nonforest
1,Global,Urban,Global,1212318.458,1457800.024,1960314.17,2051144.228,0.242442919,0.319899069,497285.3938,293918.0256,656159.1297,387819.5465,0.2,,-0.62731854,-0.448494997
2,Global,Cropland,Global,18368479.46,13734972.68,12265858.08,10061452.53,0.047402927,0.613736798,476942.2986,870719.6886,6175083.662,11273411.77,0.2,,,
3,Global,Secondary_vegetation,Global,15375309.07,24991351.66,31050779.29,33596172.56,0.279125501,0.624652846,9377548.51,4291640.852,20985944.79,9604230.562,0.2,,,
4,Global,Permanent_crops,Global,1,5999102.132,6528158.146,8714806.263,0.065356861,0.372582298,569572.3785,0.065356861,3246982.542,0.372582298,0.2,,,
5,Global,Pasture,Global,35312155.02,33403448.27,30136895.21,29300443.5,0.116757405,1,3421043.745,4122955.58,29300443.5,35312155.02,0.2,,,
6,Global,Primary_vegetation,Global,79868998.69,70553332.86,68198002.74,66415988.54,1,0.401016118,66415988.54,79868998.69,26633881.93,32028755.84,0.2,,,
7,Africa,Urban,Region,75201.44982,107498.6923,187205.6234,225631.6876,,,,,,,,,,
8,Americas,Urban,Region,331430.1276,388065.257,507704.8334,536160.0575,,,,,,,,,,
9,Antarctica,Urban,Region,0,0,0,0,,,,,,,,,,
10,Asia and the Pacific,Urban,Region,219877.1006,277011.6729,392329.451,389957.0118,,,,,,,,,,
11,Europe and Central Asia,Urban,Region,174816.6875,197007.8341,250445.3187,250044.667,,,,,,,,,,
12,Africa,Cropland,Region,3005227.049,933123.9317,974320.6901,652835.1717,,,,,,,,,,
13,Americas,Cropland,Region,4213027.702,3057646.311,2523616.794,2436313.57,,,,,,,,,,
14,Antarctica,Cropland,Region,0,0,0,0,,,,,,,,,,
15,Asia and the Pacific,Cropland,Region,5767191.06,4595101.025,4124138.764,2841546.434,,,,,,,,,,
16,Europe and Central Asia,Cropland,Region,3638309.899,3914584.712,3593400.317,3451043.42,,,,,,,,,,
17,Africa,Secondary_vegetation,Region,1984905.637,3361125.227,4019322.061,4518427.321,,,,,,,,,,
18,Americas,Secondary_vegetation,Region,3867305.487,6843174.581,9221389.63,9695367.701,,,,,,,,,,
19,Antarctica,Secondary_vegetation,Region,0,0,0,0,,,,,,,,,,
20,Asia and the Pacific,Secondary_vegetation,Region,3528545.574,5633634.803,6682419.914,7448558.907,,,,,,,,,,
21,Europe and Central Asia,Secondary_vegetation,Region,3739656.292,5351660.063,6712053.847,7169597.887,,,,,,,,,,
22,Africa,Permanent_crops,Region,0,2674090.613,3218890.22,3846704.8,,,,,,,,,,
23,Americas,Permanent_crops,Region,0,1469643.264,1367366.484,1423254.674,,,,,,,,,,
24,Antarctica,Permanent_crops,Region,0,0,0,0,,,,,,,,,,
25,Asia and the Pacific,Permanent_crops,Region,0,1376443.314,1428152.225,2597123.291,,,,,,,,,,
26,Europe and Central Asia,Permanent_crops,Region,0,0,0,0,,,,,,,,,,
27,Africa,Pasture,Region,8636218.534,8327034.531,7211224.578,6440494.119,,,,,,,,,,
28,Americas,Pasture,Region,8464164.738,7685842.97,6644603.068,6893226.316,,,,,,,,,,
29,Antarctica,Pasture,Region,0,0,0,0,,,,,,,,,,
30,Asia and the Pacific,Pasture,Region,11359795.63,11318207.95,10860845.13,10536561.02,,,,,,,,,,
31,Europe and Central Asia,Pasture,Region,4639484.541,4373731.789,3948530.793,3956567.579,,,,,,,,,,
32,Africa,Primary_vegetation,Region,16157140.92,14455820.58,14247730.41,14174600.49,,,,,,,,,,
33,Americas,Primary_vegetation,Region,23592904.16,21024459.83,20204151.41,19484509.89,,,,,,,,,,
