"","zone","zone_type","taxon","year_comparison","weighted_area_0","weighted_area_1","RDelta"
"1","Africa","Region","Forest","2020_2030",18110286.9145514,17425912.6519195,-0.00767475418913754
"2","Africa","Region","Forest","2020_2050",18110286.9145514,16699999.0295883,-0.0160835466504117
"3","Africa","Region","Forest","2020_2070",18110286.9145514,16352820.7797875,-0.0202089472068402
"4","Americas","Region","Forest","2020_2030",27090389.8875565,26954867.0610359,-0.00100253138780992
"5","Americas","Region","Forest","2020_2050",27090389.8875565,25664191.4593375,-0.0107581836020387
"6","Americas","Region","Forest","2020_2070",27090389.8875565,24263556.7511731,-0.0217995874833741
"7","Antarctica","Region","Forest","2020_2030",1519.04416943512,1519.04416943512,0
"8","Antarctica","Region","Forest","2020_2050",1519.04416943512,1519.04416943512,0
"9","Antarctica","Region","Forest","2020_2070",1519.04416943512,1519.04416943512,0
"10","Antarctica","Sub_Region","Forest","2020_2030",1519.04416943512,1519.04416943512,0
"11","Antarctica","Sub_Region","Forest","2020_2050",1519.04416943512,1519.04416943512,0
"12","Antarctica","Sub_Region","Forest","2020_2070",1519.04416943512,1519.04416943512,0
"13","Asia and the Pacific","Region","Forest","2020_2030",18237863.0341357,17863290.860282,-0.00414179947069027
"14","Asia and the Pacific","Region","Forest","2020_2050",18237863.0341357,17461391.8227441,-0.00866376289787751
"15","Asia and the Pacific","Region","Forest","2020_2070",18237863.0341357,17330221.5909454,-0.0101576449672127
"16","Caribbean","Sub_Region","Forest","2020_2030",120118.878570277,114133.889488295,-0.0101698693162232
"17","Caribbean","Sub_Region","Forest","2020_2050",120118.878570277,113846.901797706,-0.0106681528866306
"18","Caribbean","Sub_Region","Forest","2020_2070",120118.878570277,109017.366987208,-0.0192080696878046
"19","Central Africa","Sub_Region","Forest","2020_2030",3302895.09354359,3130969.65136236,-0.0106343780165055
"20","Central Africa","Sub_Region","Forest","2020_2050",3302895.09354359,3067460.33638438,-0.0146810504156111
