"","zone","zone_type","taxon","year_comparison","weighted_area_0","weighted_area_1","RDelta"
"1","Africa","Region","Forest","2020_2030",17880209.7778507,17019345.4529448,-0.00982023097799123
"2","Africa","Region","Forest","2020_2050",17880209.7778507,16686943.3472461,-0.0137186150477249
"3","Africa","Region","Forest","2020_2070",17880209.7778507,16297951.6236752,-0.0183603703657551
"4","Americas","Region","Forest","2020_2030",25940684.3795027,23791073.7618807,-0.017151627699568
"5","Americas","Region","Forest","2020_2050",25940684.3795027,23183241.9049311,-0.0222258588588241
"6","Americas","Region","Forest","2020_2070",25940684.3795027,22746566.0739081,-0.0259373683871619
"7","Antarctica","Region","Forest","2020_2030",1519.04416943512,1519.04416943512,0
"8","Antarctica","Region","Forest","2020_2050",1519.04416943512,1519.04416943512,0
"9","Antarctica","Region","Forest","2020_2070",1519.04416943512,1519.04416943512,0
"10","Antarctica","Sub_Region","Forest","2020_2030",1519.04416943512,1519.04416943512,0
"11","Antarctica","Sub_Region","Forest","2020_2050",1519.04416943512,1519.04416943512,0
"12","Antarctica","Sub_Region","Forest","2020_2070",1519.04416943512,1519.04416943512,0
"13","Asia and the Pacific","Region","Forest","2020_2030",16466968.0278988,14864785.7716563,-0.0202641440359391
"14","Asia and the Pacific","Region","Forest","2020_2050",16466968.0278988,14496932.9509923,-0.0251618931652399
"15","Asia and the Pacific","Region","Forest","2020_2070",16466968.0278988,14141706.2603281,-0.0299868228462477
"16","Caribbean","Sub_Region","Forest","2020_2030",117056.900341963,103937.550171365,-0.0234936061111028
"17","Caribbean","Sub_Region","Forest","2020_2050",117056.900341963,101773.699006686,-0.027593825301452
"18","Caribbean","Sub_Region","Forest","2020_2070",117056.900341963,102007.927674644,-0.0271466449068872
"19","Central Africa","Sub_Region","Forest","2020_2030",3616397.02039635,3336472.61349442,-0.0159837003267665
"20","Central Africa","Sub_Region","Forest","2020_2050",3616397.02039635,3319345.79028789,-0.0169960140052478
"21","Central Africa","Sub_Region","Forest","2020_2070",3616397.02039635,3263642.03951619,-0.0203176514851889
"22","Central Asia","Sub_Region","Forest","2020_2030",1206792.90600689,1069878.40007432,-0.0237965589015011
"23","Central Asia","Sub_Region","Forest","2020_2050",1206792.90600689,1022030.22699826,-0.0326888398673462
"24","Central Asia","Sub_Region","Forest","2020_2070",1206792.90600689,1025993.45089155,-0.0319397939148618
"25","Central and Western Europe","Sub_Region","Forest","2020_2030",2204329.45227791,1699069.66154601,-0.0507361630000502
"26","Central and Western Europe","Sub_Region","Forest","2020_2050",2204329.45227791,1531832.66446206,-0.0702055178345259
"27","Central and Western Europe","Sub_Region","Forest","2020_2070",2204329.45227791,1488752.46594427,-0.0754951409128913
"28","East Africa and adjacent islands","Sub_Region","Forest","2020_2030",2315682.16897765,2214377.35683335,-0.0089067094739661
"29","East Africa and adjacent islands","Sub_Region","Forest","2020_2050",2315682.16897765,2069616.16022057,-0.0222177005873165
"30","East Africa and adjacent islands","Sub_Region","Forest","2020_2070",2315682.16897765,2017329.04354432,-0.0272089687686511
"31","Eastern Europe","Sub_Region","Forest","2020_2030",14018511.7062539,13296518.5796849,-0.0105195743311928
"32","Eastern Europe","Sub_Region","Forest","2020_2050",14018511.7062539,13161767.6056798,-0.0125332932921051
"33","Eastern Europe","Sub_Region","Forest","2020_2070",14018511.7062539,13065365.4941686,-0.0139840711174508
"34","Europe and Central Asia","Region","Forest","2020_2030",17429634.0645387,16065466.6413052,-0.0161678395259826
"35","Europe and Central Asia","Region","Forest","2020_2050",17429634.0645387,15715630.4971401,-0.0204903747160062
"36","Europe and Central Asia","Region","Forest","2020_2070",17429634.0645387,15580111.4110044,-0.0221855341695236
"37","Global","Global","Forest","2020_2030",89448232.8360001,82025240.7285771,-0.0171773655675184
"38","Global","Global","Forest","2020_2050",89448232.8360001,79935441.3705924,-0.0222371720550051
"39","Global","Global","Forest","2020_2070",89448232.8360001,78423216.7573225,-0.0259649668397163
"40","Mesoamerica","Sub_Region","Forest","2020_2030",1255246.63757734,1163607.14968537,-0.0150471008091342
"41","Mesoamerica","Sub_Region","Forest","2020_2050",1255246.63757734,1164963.30079621,-0.0148176208347849
