"","zone","zone_type","taxon","year_comparison","weighted_area_0","weighted_area_1","RDelta"
"1","Africa","Region","Forest","2020_2030",17880209.7778507,17139439.0990559,-0.00842675700407269
"2","Africa","Region","Forest","2020_2050",17880209.7778507,16958640.5060185,-0.0105275995828995
"3","Africa","Region","Forest","2020_2070",17880209.7778507,16886321.5271503,-0.0113729504578162
"4","Americas","Region","Forest","2020_2030",25940684.3795027,24758423.4288807,-0.0092859745656737
"5","Americas","Region","Forest","2020_2050",25940684.3795027,24056333.8924365,-0.0149696708461086
"6","Americas","Region","Forest","2020_2070",25940684.3795027,23681711.857493,-0.018056877735643
"7","Antarctica","Region","Forest","2020_2030",1519.04416943512,1519.04416943512,0
"8","Antarctica","Region","Forest","2020_2050",1519.04416943512,1519.04416943512,0
"9","Antarctica","Region","Forest","2020_2070",1519.04416943512,1519.04416943512,0
"10","Antarctica","Sub_Region","Forest","2020_2030",1519.04416943512,1519.04416943512,0
"11","Antarctica","Sub_Region","Forest","2020_2050",1519.04416943512,1519.04416943512,0
"12","Antarctica","Sub_Region","Forest","2020_2070",1519.04416943512,1519.04416943512,0
"13","Asia and the Pacific","Region","Forest","2020_2030",16466968.0278988,14700247.9915165,-0.0224427436499044
"14","Asia and the Pacific","Region","Forest","2020_2050",16466968.0278988,14688647.0612365,-0.0225970832925348
"15","Asia and the Pacific","Region","Forest","2020_2070",16466968.0278988,14595926.1387673,-0.0238341665613553
"16","Caribbean","Sub_Region","Forest","2020_2030",117056.900341963,112692.596926777,-0.00757048119726
"17","Caribbean","Sub_Region","Forest","2020_2050",117056.900341963,111290.607243261,-0.0100521917499862
"18","Caribbean","Sub_Region","Forest","2020_2070",117056.900341963,111054.355253724,-0.0104728489675575
"19","Central Africa","Sub_Region","Forest","2020_2030",3616397.02039635,3374745.67699028,-0.0137364352879119
"20","Central Africa","Sub_Region","Forest","2020_2050",3616397.02039635,3348940.64523399,-0.0152493649910271
"21","Central Africa","Sub_Region","Forest","2020_2070",3616397.02039635,3338082.87935601,-0.0158887364392462
"22","Central Asia","Sub_Region","Forest","2020_2030",1206792.90600689,1144327.91357988,-0.0105734756832317
"23","Central Asia","Sub_Region","Forest","2020_2050",1206792.90600689,1171743.45678194,-0.0058773755080902
"24","Central Asia","Sub_Region","Forest","2020_2070",1206792.90600689,1112873.9168427,-0.0160735328852194
"25","Central and Western Europe","Sub_Region","Forest","2020_2030",2204329.45227791,1934292.02376457,-0.025797796549229
"26","Central and Western Europe","Sub_Region","Forest","2020_2050",2204329.45227791,1751116.48219343,-0.044990467626883
"27","Central and Western Europe","Sub_Region","Forest","2020_2070",2204329.45227791,1671768.76334988,-0.0538065429092921
"28","East Africa and adjacent islands","Sub_Region","Forest","2020_2030",2315682.16897765,2227412.57037983,-0.00774260800321813
"29","East Africa and adjacent islands","Sub_Region","Forest","2020_2050",2315682.16897765,2119336.86201539,-0.0175641360068527
"30","East Africa and adjacent islands","Sub_Region","Forest","2020_2070",2315682.16897765,2113078.74432127,-0.0181450228106653
"31","Eastern Europe","Sub_Region","Forest","2020_2030",14018511.7062539,13556604.9792785,-0.00667856658306631
"32","Eastern Europe","Sub_Region","Forest","2020_2050",14018511.7062539,13198275.2064482,-0.0119861006940418
