"","zone","zone_type","taxon","year_comparison","weighted_area_0","weighted_area_1","RDelta"
"1","Africa","Region","Forest","2020_2030",17880209.7778507,16611304.5537275,-0.0146143664469786
"2","Africa","Region","Forest","2020_2050",17880209.7778507,16513538.4510685,-0.0157770074043146
"3","Africa","Region","Forest","2020_2070",17880209.7778507,16524841.8118748,-0.0156423060150026
"4","Americas","Region","Forest","2020_2030",25940684.3795027,24167019.7742111,-0.0140648875863686
"5","Americas","Region","Forest","2020_2050",25940684.3795027,23885966.0670755,-0.0163688441510952
"6","Americas","Region","Forest","2020_2070",25940684.3795027,23334065.5341424,-0.0209569321635559
"7","Antarctica","Region","Forest","2020_2030",1519.04416943512,1519.04416943512,0
"8","Antarctica","Region","Forest","2020_2050",1519.04416943512,1519.04416943512,0
"9","Antarctica","Region","Forest","2020_2070",1519.04416943512,1519.04416943512,0
"10","Antarctica","Sub_Region","Forest","2020_2030",1519.04416943512,1519.04416943512,0
"11","Antarctica","Sub_Region","Forest","2020_2050",1519.04416943512,1519.04416943512,0
"12","Antarctica","Sub_Region","Forest","2020_2070",1519.04416943512,1519.04416943512,0
"13","Asia and the Pacific","Region","Forest","2020_2030",16466968.0278988,14772958.4251443,-0.0214776116302428
"14","Asia and the Pacific","Region","Forest","2020_2050",16466968.0278988,14733826.4122206,-0.0219965623557953
"15","Asia and the Pacific","Region","Forest","2020_2070",16466968.0278988,14598978.0518886,-0.0237933479911833
"16","Caribbean","Sub_Region","Forest","2020_2030",117056.900341963,110730.876377209,-0.0110499802791109
"17","Caribbean","Sub_Region","Forest","2020_2050",117056.900341963,110436.230460044,-0.0115768445782387
"18","Caribbean","Sub_Region","Forest","2020_2070",117056.900341963,110363.111032581,-0.0117077655326776
"19","Central Africa","Sub_Region","Forest","2020_2030",3616397.02039635,3427392.71805419,-0.010678258327745
"20","Central Africa","Sub_Region","Forest","2020_2050",3616397.02039635,3425321.65031514,-0.010797850562335
"21","Central Africa","Sub_Region","Forest","2020_2070",3616397.02039635,3418778.86056636,-0.0111760394191358
"22","Central Asia","Sub_Region","Forest","2020_2030",1206792.90600689,993819.916807901,-0.0380887822124696
"23","Central Asia","Sub_Region","Forest","2020_2050",1206792.90600689,968028.456729911,-0.0431341059186087
"24","Central Asia","Sub_Region","Forest","2020_2070",1206792.90600689,973463.10122424,-0.0420621152767493
"25","Central and Western Europe","Sub_Region","Forest","2020_2030",2204329.45227791,1623570.04787031,-0.059326508837434
"26","Central and Western Europe","Sub_Region","Forest","2020_2050",2204329.45227791,1585528.21537389,-0.0637765943464408
"27","Central and Western Europe","Sub_Region","Forest","2020_2070",2204329.45227791,1509320.94606674,-0.0729545660985319
"28","East Africa and adjacent islands","Sub_Region","Forest","2020_2030",2315682.16897765,2009440.63437934,-0.0279709470611011
"29","East Africa and adjacent islands","Sub_Region","Forest","2020_2050",2315682.16897765,1932505.64362827,-0.0355307984085996
"30","East Africa and adjacent islands","Sub_Region","Forest","2020_2070",2315682.16897765,1957084.7362821,-0.0330898133733118
"31","Eastern Europe","Sub_Region","Forest","2020_2030",14018511.7062539,13607145.1706314,-0.00593903100626969
"32","Eastern Europe","Sub_Region","Forest","2020_2050",14018511.7062539,13331338.269046,-0.0100018844096259
"33","Eastern Europe","Sub_Region","Forest","2020_2070",14018511.7062539,13201092.9130961,-0.0119439179757418
"34","Europe and Central Asia","Region","Forest","2020_2030",17429634.0645387,16224535.1353096,-0.0142272727927394
"35","Europe and Central Asia","Region","Forest","2020_2050",17429634.0645387,15884894.9411497,-0.0183894541871374
"36","Europe and Central Asia","Region","Forest","2020_2070",17429634.0645387,15683876.9603871,-0.0208865161606973
"37","Global","Global","Forest","2020_2030",89448232.8360001,82825750.0342929,-0.015266477570065
"38","Global","Global","Forest","2020_2050",89448232.8360001,81867134.5332602,-0.0175565422517996
"39","Global","Global","Forest","2020_2070",89448232.8360001,80758380.8629002,-0.0202321879573384
"40","Mesoamerica","Sub_Region","Forest","2020_2030",1255246.63757734,1174568.07121427,-0.0131984457016009
"41","Mesoamerica","Sub_Region","Forest","2020_2050",1255246.63757734,1201863.91732793,-0.00865402865724141
"42","Mesoamerica","Sub_Region","Forest","2020_2070",1255246.63757734,1195824.88830879,-0.00965228413978836
"43","North Africa","Sub_Region","Forest","2020_2030",6793669.35796354,6459191.12291846,-0.0100466131975904
"44","North Africa","Sub_Region","Forest","2020_2050",6793669.35796354,6420767.32008134,-0.0112272132938098
"45","North Africa","Sub_Region","Forest","2020_2070",6793669.35796354,6408918.82447328,-0.011592407253694
"46","North America","Sub_Region","Forest","2020_2030",13938129.6503301,12686247.5954163,-0.0186459103952531
"47","North America","Sub_Region","Forest","2020_2050",13938129.6503301,12399500.5622036,-0.0231228784821179
"48","North America","Sub_Region","Forest","2020_2070",13938129.6503301,12020271.3702371,-0.0291727577748582
"49","North-East Asia","Sub_Region","Forest","2020_2030",4716374.38357354,3746707.16551334,-0.0449891717298095
"50","North-East Asia","Sub_Region","Forest","2020_2050",4716374.38357354,3797955.52981261,-0.0423907760045958
"51","North-East Asia","Sub_Region","Forest","2020_2070",4716374.38357354,3866701.94096469,-0.0389488894375055
"52","Oceania","Sub_Region","Forest","2020_2030",4379473.24899921,4260090.17761842,-0.00551237596189957
"53","Oceania","Sub_Region","Forest","2020_2050",4379473.24899921,4249854.50555364,-0.0059907248194444
"54","Oceania","Sub_Region","Forest","2020_2070",4379473.24899921,4228646.60745959,-0.00698478489475296
"55","South America","Sub_Region","Forest","2020_2030",10630251.1912534,10195473.2312033,-0.00831721925623707
"56","South America","Sub_Region","Forest","2020_2050",10630251.1912534,10174165.3570837,-0.00873207667846809
"57","South America","Sub_Region","Forest","2020_2070",10630251.1912534,10007606.164564,-0.0119991100061387
"58","South Asia","Sub_Region","Forest","2020_2030",2232454.03552436,1897903.8770492,-0.0319487782159995
"59","South Asia","Sub_Region","Forest","2020_2050",2232454.03552436,1898903.20342264,-0.0318468557274848
"60","South Asia","Sub_Region","Forest","2020_2070",2232454.03552436,1803615.68802494,-0.041764413017688
"61","South-East Asia","Sub_Region","Forest","2020_2030",2564104.14878995,2451505.06568218,-0.0089411895716075
"62","South-East Asia","Sub_Region","Forest","2020_2050",2564104.14878995,2393335.2725582,-0.0136896828777044
"63","South-East Asia","Sub_Region","Forest","2020_2070",2564104.14878995,2309519.27693763,-0.0206967720170869
"64","Southern Africa","Sub_Region","Forest","2020_2030",2775916.36172674,2546856.00497025,-0.0170767613810866
"65","Southern Africa","Sub_Region","Forest","2020_2050",2775916.36172674,2542336.04560903,-0.0174258922562562
"66","Southern Africa","Sub_Region","Forest","2020_2070",2775916.36172674,2560744.29627266,-0.0160070939284221
"67","West Africa","Sub_Region","Forest","2020_2030",2378544.86878641,2168424.07340532,-0.0183276147052073
"68","West Africa","Sub_Region","Forest","2020_2050",2378544.86878641,2192607.79143486,-0.0161476644151266
"69","West Africa","Sub_Region","Forest","2020_2070",2378544.86878641,2179315.09428046,-0.0173434898928214
"70","Western Asia","Sub_Region","Forest","2020_2030",2574562.21101182,2416752.13928123,-0.0125713039976635
"71","Western Asia","Sub_Region","Forest","2020_2050",2574562.21101182,2393777.90087355,-0.01445583145808
"72","Western Asia","Sub_Region","Forest","2020_2070",2574562.21101182,2390494.53850182,-0.0147263390497836
"73","Africa","Region","Non_Forest","2020_2030",18223844.7249185,17826988.076968,-0.00439379753446134
"74","Africa","Region","Non_Forest","2020_2050",18223844.7249185,17292639.9662192,-0.0104351541803623
"75","Africa","Region","Non_Forest","2020_2070",18223844.7249185,16853248.3196512,-0.0155158631124733
"76","Americas","Region","Non_Forest","2020_2030",23032737.2863577,22939893.5553201,-0.000807492328921411
"77","Americas","Region","Non_Forest","2020_2050",23032737.2863577,22727668.0572633,-0.00266315245214488
"78","Americas","Region","Non_Forest","2020_2070",23032737.2863577,22960119.7554049,-0.000631355995480254
"79","Antarctica","Region","Non_Forest","2020_2030",609.161196634131,609.161196634131,0
"80","Antarctica","Region","Non_Forest","2020_2050",609.161196634131,609.161196634131,0
"81","Antarctica","Region","Non_Forest","2020_2070",609.161196634131,609.161196634131,0
"82","Antarctica","Sub_Region","Non_Forest","2020_2030",609.161196634131,609.161196634131,0
"83","Antarctica","Sub_Region","Non_Forest","2020_2050",609.161196634131,609.161196634131,0
"84","Antarctica","Sub_Region","Non_Forest","2020_2070",609.161196634131,609.161196634131,0
"85","Asia and the Pacific","Region","Non_Forest","2020_2030",22719451.9850387,22872216.9848667,0.00134119233731256
"86","Asia and the Pacific","Region","Non_Forest","2020_2050",22719451.9850387,22721802.966224,2.06948995267187e-05
"87","Asia and the Pacific","Region","Non_Forest","2020_2070",22719451.9850387,22393019.0487451,-0.00289025764122186
"88","Caribbean","Sub_Region","Non_Forest","2020_2030",158218.610312314,143514.207112369,-0.0193196665266266
"89","Caribbean","Sub_Region","Non_Forest","2020_2050",158218.610312314,139708.986699167,-0.0245761833699255
"90","Caribbean","Sub_Region","Non_Forest","2020_2070",158218.610312314,137732.063715823,-0.0273524485471441
"91","Central Africa","Sub_Region","Non_Forest","2020_2030",3005449.39756114,2913823.44976558,-0.00617306539677409
"92","Central Africa","Sub_Region","Non_Forest","2020_2050",3005449.39756114,2850655.44495363,-0.0105199062680159
"93","Central Africa","Sub_Region","Non_Forest","2020_2070",3005449.39756114,2810317.4483574,-0.0133362059443332
"94","Central Asia","Sub_Region","Non_Forest","2020_2030",3284961.67959326,3360898.3451836,0.00458112466924088
"95","Central Asia","Sub_Region","Non_Forest","2020_2050",3284961.67959326,3350854.72597901,0.00397999297513874
"96","Central Asia","Sub_Region","Non_Forest","2020_2070",3284961.67959326,3359300.18971582,0.00448556793943977
"97","Central and Western Europe","Sub_Region","Non_Forest","2020_2030",3620827.90999955,3740617.6480487,0.0065308415914147
"98","Central and Western Europe","Sub_Region","Non_Forest","2020_2050",3620827.90999955,3690382.09520774,0.00381270943846146
"99","Central and Western Europe","Sub_Region","Non_Forest","2020_2070",3620827.90999955,3711844.41841669,0.00497758658712355
"100","East Africa and adjacent islands","Sub_Region","Non_Forest","2020_2030",3300424.98686519,3275895.01590554,-0.00149091248978006
"101","East Africa and adjacent islands","Sub_Region","Non_Forest","2020_2050",3300424.98686519,3190647.8422978,-0.00674261835795453
"102","East Africa and adjacent islands","Sub_Region","Non_Forest","2020_2070",3300424.98686519,3097105.85583816,-0.0126361179896685
"103","Eastern Europe","Sub_Region","Non_Forest","2020_2030",8626154.17561503,8689608.53294036,0.00146689861322891
"104","Eastern Europe","Sub_Region","Non_Forest","2020_2050",8626154.17561503,8726775.91795142,0.00232213590168673
"105","Eastern Europe","Sub_Region","Non_Forest","2020_2070",8626154.17561503,8773755.93190172,0.00339900631168133
"106","Europe and Central Asia","Region","Non_Forest","2020_2030",15531943.7652078,15791124.5261727,0.0033153340156189
"107","Europe and Central Asia","Region","Non_Forest","2020_2050",15531943.7652078,15768012.7391382,0.00302147276988163
"108","Europe and Central Asia","Region","Non_Forest","2020_2070",15531943.7652078,15844900.5400342,0.00399775474368624
"109","Global","Global","Non_Forest","2020_2030",88606372.7424326,88438557.174644,-0.000379076223555819
"110","Global","Global","Non_Forest","2020_2050",88606372.7424326,87468738.5025899,-0.00258112851866577
"111","Global","Global","Non_Forest","2020_2070",88606372.7424326,86998495.5597231,-0.00365589210436501
"112","Mesoamerica","Sub_Region","Non_Forest","2020_2030",1643819.32110984,1583502.66699638,-0.00744874304908971
"113","Mesoamerica","Sub_Region","Non_Forest","2020_2050",1643819.32110984,1518052.159547,-0.0157928343593056
"114","Mesoamerica","Sub_Region","Non_Forest","2020_2070",1643819.32110984,1527564.94312854,-0.0145624194998487
"115","North Africa","Sub_Region","Non_Forest","2020_2030",4455979.12581349,4506453.44560611,0.0022552693748501
"116","North Africa","Sub_Region","Non_Forest","2020_2050",4455979.12581349,4430582.18802408,-0.00114251148840028
"117","North Africa","Sub_Region","Non_Forest","2020_2070",4455979.12581349,4431095.46941406,-0.00111936910296295
"118","North America","Sub_Region","Non_Forest","2020_2030",10513514.3245931,10746275.7304699,0.00438915278844876
