"","X","Group","IPBES.region","IPBES.sub.region","Species.Richness","z.value","sigma_primary_vegetation","sigma_secondary_vegetation","sigma_pastures","sigma_cropland","sigma_tree_plantation","sigma_urban","h_primary_vegetation","h_secondary_vegetation","h_pastures","h_cropland","h_tree_plantation","h_urban"
"1",1,"Forest","Africa","Central Africa",203,0.2,0,0.225253,0.349186,0.4565482,0.4204936,0.2467799,1,0.279125501344877,0.116757404871959,0.047402926862617,0.0653568606470834,0.24244291895122
"2",2,"Forest","Africa","East Africa and adjacent islands",257,0.2,0,0.225253,0.349186,0.4565482,0.4204936,0.2467799,1,0.279125501344877,0.116757404871959,0.047402926862617,0.0653568606470834,0.24244291895122
"3",3,"Forest","Africa","North Africa",23,0.2,0,0.225253,0.349186,0.4565482,0.4204936,0.2467799,1,0.279125501344877,0.116757404871959,0.047402926862617,0.0653568606470834,0.24244291895122
"4",4,"Forest","Africa","Southern Africa",124,0.2,0,0.225253,0.349186,0.4565482,0.4204936,0.2467799,1,0.279125501344877,0.116757404871959,0.047402926862617,0.0653568606470834,0.24244291895122
"5",5,"Forest","Africa","West Africa",137,0.2,0,0.225253,0.349186,0.4565482,0.4204936,0.2467799,1,0.279125501344877,0.116757404871959,0.047402926862617,0.0653568606470834,0.24244291895122
"6",6,"Forest","Americas","Caribbean",149,0.2,0,0.225253,0.349186,0.4565482,0.4204936,0.2467799,1,0.279125501344877,0.116757404871959,0.047402926862617,0.0653568606470834,0.24244291895122
"7",7,"Forest","Americas","Mesoamerica",478,0.2,0,0.225253,0.349186,0.4565482,0.4204936,0.2467799,1,0.279125501344877,0.116757404871959,0.047402926862617,0.0653568606470834,0.24244291895122
"8",8,"Forest","Americas","North America",185,0.2,0,0.225253,0.349186,0.4565482,0.4204936,0.2467799,1,0.279125501344877,0.116757404871959,0.047402926862617,0.0653568606470834,0.24244291895122
"9",9,"Forest","Americas","South America",1336,0.2,0,0.225253,0.349186,0.4565482,0.4204936,0.2467799,1,0.279125501344877,0.116757404871959,0.047402926862617,0.0653568606470834,0.24244291895122
"10",10,"Forest","Asia-Pacific","North-East Asia",287,0.2,0,0.225253,0.349186,0.4565482,0.4204936,0.2467799,1,0.279125501344877,0.116757404871959,0.047402926862617,0.0653568606470834,0.24244291895122
