"","SS","New_LU2","sort","S0","S1","S0_S1","sigma","h"
"2","AD1_2012__Yamaura 1","Cropland",4,"9",4,0.444444444444444,0.555555555555556,0.0173415299158326
"3","AD1_2012__Yamaura 1","Secondary_vegetation",1,"9",1,0.111111111111111,0.888888888888889,1.69350878084303e-05
"4","AD1_2012__Yamaura 1","Pasture",2,"9",2,0.222222222222222,0.777777777777778,0.000541922809869769
"5","AD1_2012__Yamaura 1","Permanent_crops",4.5,"9",4.5,0.5,0.5,0.03125
"7","BS1_2011__Jolli 1","Secondary_vegetation",1.25,"2",1.25,0.625,0.375,0.095367431640625
"9","BS1_2012__Naithani 1","Urban",5,"6.66666666666667",5,0.75,0.25,0.237304687499999
"14","DI1_2004__Naidoo 1","Cropland",1.16666666666667,"3.71875",1.16666666666667,0.313725490196078,0.686274509803922,0.00303912828687428
"15","DI1_2004__Naidoo 1","Secondary_vegetation",3.96666666666667,"3.71875",3.96666666666667,1.06666666666667,-0.0666666666666667,1.38084082304527
"20","DI1_2011__Dawson 1","Cropland",6,"20.8",6,0.288461538461538,0.711538461538462,0.00199728286942522
"21","DI1_2011__Dawson 1","Secondary_vegetation",14.3333333333333,"20.8",14.3333333333333,0.689102564102564,0.310897435897436,0.155388662839747
"23","DI1_2011__Neuschulz 1","Cropland",1,"1.25",1,0.8,0.2,0.32768
"24","DI1_2011__Neuschulz 1","Secondary_vegetation",1,"1.25",1,0.8,0.2,0.32768
"26","DI1_2012__Reid 1","Secondary_vegetation",11,"22.625",11,0.486187845303867,0.513812154696133,0.0271656741089406
"27","DI1_2012__Reid 1","Permanent_crops",12.625,"22.625",12.625,0.558011049723757,0.441988950276243,0.0541020840266108
"29","DI1_2013__Azhar 1","Cropland",1,"5.6",1,0.178571428571429,0.821428571428571,0.000181576593829952
"30","DI1_2013__Azhar 1","Permanent_crops",1.52,"5.6",1.52,0.271428571428571,0.728571428571429,0.00147325459629916
"32","DI1_2013__deLima 1","Cropland",1.0952380952381,"1.60606060606061",1.0952380952381,0.681940700808624,0.318059299191376,0.147479975845227
"33","DI1_2013__deLima 1","Secondary_vegetation",1.41666666666667,"1.60606060606061",1.41666666666667,0.882075471698111,0.117924528301889,0.533984594821397
"34","DI1_2013__deLima 1","Permanent_crops",1.07608695652174,"1.60606060606061",1.07608695652174,0.670016406890892,0.329983593109108,0.135029042371812
"36","DL1_2013__deThoisy 1","Secondary_vegetation",1,"1",1,1,0,1
"38","FB1_2007a_Barlow 1","Secondary_vegetation",35,"90",35,0.388888888888889,0.611111111111111,0.00889462564988399
"39","FB1_2007a_Barlow 1","Permanent_crops",17,"90",17,0.188888888888889,0.811111111111111,0.000240454029704144
"41","FB1_2007a_Barlow 2","Secondary_vegetation",26,"30",26,0.866666666666667,0.133333333333333,0.488945514403292
"42","FB1_2007a_Barlow 2","Permanent_crops",4,"30",4,0.133333333333333,0.866666666666667,4.21399176954732e-05
