"","SS","New_LU2","sort","S0","S1","S0_S1","sigma","h"
"2","AD1_2012__Yamaura 1","Cropland",18,"21",18,0.857142857142857,0.142857142857143,0.46266436603796
"3","AD1_2012__Yamaura 1","Secondary_vegetation",16,"21",16,0.761904761904762,0.238095238095238,0.256745854228385
"4","AD1_2012__Yamaura 1","Pasture",19,"21",19,0.904761904761905,0.0952380952380952,0.606277611645745
"5","AD1_2012__Yamaura 1","Permanent_crops",14.5,"21",14.5,0.69047619047619,0.30952380952381,0.156943573689779
"7","BS1_2011__Jolli 1","Secondary_vegetation",1,"1",1,1,0,1
"9","BS1_2011__Jolli 2","Secondary_vegetation",1,"1",1,1,0,1
"11","BS1_2012__Naithani 1","Urban",35.3333333333333,"38.3333333333333",35.3333333333333,0.921739130434784,0.0782608695652165,0.665334623763839
"16","DI1_2004__Naidoo 1","Cropland",12.9354838709677,"13.6875",12.9354838709677,0.945058182353808,0.0549418176461923,0.753863528698963
"17","DI1_2004__Naidoo 1","Secondary_vegetation",15.3,"13.6875",15.3,1.11780821917808,-0.117808219178082,1.74516499485204
"22","DI1_2011__Dawson 1","Cropland",15.5,"24.8",15.5,0.625,0.375,0.095367431640625
"23","DI1_2011__Dawson 1","Secondary_vegetation",19.3333333333333,"24.8",19.3333333333333,0.779569892473118,0.220430107526882,0.287922291491908
"25","DI1_2011__Neuschulz 1","Cropland",15.3333333333333,"8.75",15.3333333333333,1.75238095238095,-0.752380952380952,16.5250438164188
"26","DI1_2011__Neuschulz 1","Secondary_vegetation",11.8333333333333,"8.75",11.8333333333333,1.35238095238095,-0.352380952380952,4.5237149018205
"28","DI1_2012__Reid 1","Secondary_vegetation",33.7272727272727,"27.5",33.7272727272727,1.22644628099174,-0.226446280991736,2.77487007333563
"29","DI1_2012__Reid 1","Permanent_crops",36.25,"27.5",36.25,1.31818181818182,-0.318181818181818,3.97994055454483
"31","DI1_2013__Azhar 1","Cropland",15.1666666666667,"34.5789473684211",15.1666666666667,0.438609842719431,0.561390157280569,0.0162327412724976
"32","DI1_2013__Azhar 1","Permanent_crops",24.925,"34.5789473684211",24.925,0.720814307458142,0.279185692541858,0.194588420064185
"34","DI1_2013__deLima 1","Cropland",4.8,"4.35",4.8,1.10344827586207,-0.103448275862069,1.63591186432315
"35","DI1_2013__deLima 1","Secondary_vegetation",5.05,"4.35",5.05,1.16091954022989,-0.160919540229885,2.10867964495536
"36","DI1_2013__deLima 1","Permanent_crops",5.34959349593496,"4.35",5.34959349593496,1.22979160826091,-0.22979160826091,2.81292158802537
"38","DL1_2012__Dallimer 1","Secondary_vegetation",10,"10",10,1,0,1
"39","DL1_2012__Dallimer 1","Permanent_crops",10.25,"10",10.25,1.025,-0.0249999999999999,1.13140821289062
"41","FB1_2007a_Barlow 1","Secondary_vegetation",69,"71",69,0.971830985915493,0.028169014084507,0.866869474290023
"42","FB1_2007a_Barlow 1","Permanent_crops",63,"71",63,0.887323943661972,0.112676056338028,0.550061189532217
"44","FB1_2007a_Barlow 2","Secondary_vegetation",36,"21",36,1.71428571428571,-0.714285714285714,14.8052597132147
"45","FB1_2007a_Barlow 2","Permanent_crops",35,"21",35,1.66666666666667,-0.666666666666667,12.8600823045268
